location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Wind Gust
unit,km/h
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Wind Gust
20220112T0700,14.759999
20220112T0800,14.759999
20220112T0900,16.56
20220112T1000,13.32
20220112T1100,14.759999
20220112T1200,16.919998
20220112T1300,19.08
20220112T1400,22.68
20220112T1500,23.039999
20220112T1600,21.599998
20220112T1700,20.16
20220112T1800,17.28
20220112T1900,16.919998
20220112T2000,15.119999
20220112T2100,16.919998
20220112T2200,14.759999
20220112T2300,14.759999
20220113T0000,15.4800005
20220113T0100,15.4800005
20220113T0200,15.4800005
20220113T0300,14.759999
20220113T0400,14.759999
20220113T0500,15.119999
20220113T0600,14.759999
20220113T0700,14.4
20220113T0800,14.759999
20220113T0900,16.919998
20220113T1000,14.759999
20220113T1100,17.28
20220113T1200,17.28
20220113T1300,18.359999
20220113T1400,19.8
20220113T1500,21.24
20220113T1600,21.24
20220113T1700,18.0
20220113T1800,16.56
20220113T1900,16.56
20220113T2000,15.84
20220113T2100,18.359999
20220113T2200,14.4
20220113T2300,14.04
20220114T0000,12.959999
20220114T0100,12.24
20220114T0200,11.5199995
20220114T0300,11.5199995
20220114T0400,11.159999
20220114T0500,10.799999
20220114T0600,10.799999
20220114T0700,10.799999
20220114T0800,10.440001
20220114T0900,12.599999
20220114T1000,10.440001
20220114T1100,11.879999
20220114T1200,11.879999
20220114T1300,10.799999
20220114T1400,10.08
20220114T1500,9.0
20220114T1600,8.64
20220114T1700,6.4799995
20220114T1800,7.92
20220114T1900,9.72
20220114T2000,10.799999
20220114T2100,11.5199995
20220114T2200,10.799999
20220114T2300,11.159999
20220115T0000,11.159999
20220115T0100,11.5199995
20220115T0200,11.5199995
20220115T0300,11.5199995
20220115T0400,11.5199995
20220115T0500,11.5199995
20220115T0600,10.799999
20220115T0700,10.440001
20220115T0800,11.159999
20220115T0900,14.4
20220115T1000,12.959999
20220115T1100,14.4
20220115T1200,14.4
20220115T1300,12.959999
20220115T1400,12.24
20220115T1500,11.5199995
20220115T1600,9.36
20220115T1700,3.96
20220115T1800,5.04
20220115T1900,7.92
20220115T2000,10.08
20220115T2100,12.599999
20220115T2200,12.959999
20220115T2300,13.32
20220116T0000,13.679999
20220116T0100,14.4
20220116T0200,14.4
20220116T0300,14.4
20220116T0400,15.119999
20220116T0500,15.84
20220116T0600,16.919998
20220116T0700,17.28
20220116T0800,17.64
20220116T0900,19.08
20220116T1000,18.0
20220116T1100,19.44
20220116T1200,21.24
20220116T1300,25.56
20220116T1400,25.919998
20220116T1500,24.48
20220116T1600,22.319998
20220116T1700,19.44
20220116T1800,14.04
20220116T1900,15.119999
20220116T2000,15.119999
20220116T2100,15.84
20220116T2200,16.919998
20220116T2300,15.119999
20220117T0000,12.24
20220117T0100,11.879999
20220117T0200,12.24
20220117T0300,11.5199995
20220117T0400,11.159999
20220117T0500,10.440001
20220117T0600,10.440001
20220117T0700,10.440001
20220117T0800,11.5199995
20220117T0900,12.959999
20220117T1000,12.959999
20220117T1100,12.24
20220117T1200,13.32
20220117T1300,16.56
20220117T1400,16.199999
20220117T1500,14.4
20220117T1600,13.679999
20220117T1700,13.679999
20220117T1800,9.72
20220117T1900,9.72
20220117T2000,9.0
20220117T2100,8.28
20220117T2200,7.5599995
20220117T2300,6.8399997
20220118T0000,6.8399997
20220118T0100,8.64
